"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"gamliel_gila","Gamliel Gila","גילה גמליאל","סגנית שר לקידום צעירים, סטודנטים ונשים במשרד ראש הממשלה","Female","נקבה",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/gamliel_gila-s.jpg"
"erdan_gilad","Erdan Gilad","גלעד ארדן","שר להגנת הסביבה","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/erdan_gilad-s.jpg"
"zahalka_jamal","Zahalka Jamal","ג`מאל זחאלקה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"balad","http://www.knesset.gov.il/mk/images/members/zahalka_jamal-s.jpg"
"khenin_dov","Khenin Dov","דב חנין","חבר כנסת באופוזיציה","Male","זכר",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/khenin_dov-s.jpg"
"azoulay_david","Azoulay David","דוד אזולאי","יו""ר ועדת הפנים והגנת הסביבה","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/azoulay_david-s.jpg"
"David_Rotem","David Rotem","דוד רותם","יו""ר ועדת החוקה, חוק ומשפט","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/David_Rotem-s.jpg"
"itzik_dalia","Itzik Dalia","דליה איציק","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/itzik_dalia-s.jpg"
"meridor_dan","Meridor Dan","דן מרידור","סגן ראש הממשלה, שר המופקד על שירותי המודיעין והוועדה לאנרגיה אטומית","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/meridor_dan-s.jpg"
"Ayalon_Daniel","Ayalon Daniel","דניאל אילון","סגן שר החוץ","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Ayalon_Daniel-s.jpg"
"Ben_Simon_Daniel","Ben Simon Daniel","דניאל בן-סימון","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/Ben_Simon_Daniel-s.jpg"
"Hershkowitz_Daniel","Hershkowitz Daniel","דניאל הרשקוביץ","שר המדע והטכנולוגיה","Male","זכר",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/Hershkowitz_Daniel-s.jpg"
"danon_danny","Danon Danny","דני דנון","יו""ר ועדת העלייה, הקליטה והתפוצות","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/danon_danny-s.jpg"
"elkin_zeev","Elkin Zeev","זאב אלקין","חבר כנסת בקואליציה","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/elkin_zeev-s.jpg"
"boim_zev","Boim Zev","זאב בוים","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/boim_zev-s.jpg"
"Bielski_Zeev","Bielski Zeev","זאב בילסקי","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Bielski_Zeev-s.jpg"
"begin_beni","Begin Beni","זאב בנימין  בגין","שר","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/begin_beni-s.jpg"
"orlev_zevulun","Orlev Zevulun","זבולון אורלב","יו""ר ועדה לזכויות הילד","Male","זכר",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/orlev_zevulun-s.jpg"
"oron_chaim","Oron Chaim","חיים אורון","חבר כנסת באופוזיציה","Male","זכר",TRUE,"meretz","http://www.knesset.gov.il/mk/images/members/oron_chaim-s.jpg"
"amsalem_haim","Amsalem Haim","חיים אמסלם","חבר כנסת בקואליציה","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/amsalem_haim-s.jpg"
"katz_haim","Katz Haim","חיים כץ","יו""ר ועדת העבודה, הרווחה והבריאות","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/katz_haim-s.jpg"
"ramon_haim","Ramon Haim","חיים רמון","חבר כנסת לשעבר","Male","זכר",FALSE,"kadima","http://www.knesset.gov.il/mk/images/members/ramon_haim-s.jpg"
"Amar_Hamad","Amar Hamad","חמד עמאר","חבר כנסת בקואליציה","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Amar_Hamad-s.jpg"
"swaid_hana","Swaid Hana","חנא סוייד","חבר כנסת באופוזיציה","Male","זכר",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/swaid_hana-s.jpg"
"Zuabi_Hanin","Zuabi Hanin","חנין זועבי","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"balad","http://www.knesset.gov.il/mk/images/members/Zuabi_Hanin-s.jpg"
"elsana_taleb","Elsana Taleb","טלב אלסאנע","יו""ר ועדה מיוחדת למאבק בנגע הסמים","Male","זכר",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/elsana_taleb-s.jpg"
"hasson_yoel","Hasson Yoel","יואל חסון","יו""ר ועדה לענייני ביקורת המדינה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hasson_yoel-s.jpg"
"steinitz_yuval","Steinitz Yuval","יובל שטייניץ","שר האוצר","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/steinitz_yuval-s.jpg"
"Plesner_yohanan","Plesner Yohanan","יוחנן פלסנר","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Plesner_yohanan-s.jpg"
"Shamalov_Berkovich_Yulia","Shamalov Berkovich Yulia","יוליה שמאלוב ברקוביץ`","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Shamalov_Berkovich_Yulia-s.jpg"
"edelstein_yoel","Edelstein Yoel","יולי - יואל אדלשטיין","שר ההסברה והתפוצות","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/edelstein_yoel-s.jpg"
"tamir_yuli","Tamir Yuli","יולי תמיר","חברת כנסת לשעבר","Female","נקבה",FALSE,"haavoda","http://www.knesset.gov.il/mk/images/members/tamir_yuli-s.jpg"
"Peled_Yossi","Peled Yossi","יוסי פלד","שר","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Peled_Yossi-s.jpg"
