"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"azoulay_david","Azoulay David","??? ??????","??""? ???? ????? ????? ??????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/azoulay_david-s.jpg"
"David_Rotem","David Rotem","??? ????","??""? ???? ?????, ??? ?????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/David_Rotem-s.jpg"
"itzik_dalia","Itzik Dalia","???? ?????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/itzik_dalia-s.jpg"
"meridor_dan","Meridor Dan","?? ??????","??? ??? ??????, ?? ?????? ?? ?????? ???????? ??????? ??????? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/meridor_dan-s.jpg"
"Ayalon_Daniel","Ayalon Daniel","????? ?????","??? ?? ????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Ayalon_Daniel-s.jpg"
"Ben_Simon_Daniel","Ben Simon Daniel","????? ??-?????","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/Ben_Simon_Daniel-s.jpg"
"Hershkowitz_Daniel","Hershkowitz Daniel","????? ????????","?? ???? ???????????","Male","???",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/Hershkowitz_Daniel-s.jpg"
"danon_danny","Danon Danny","??? ????","??""? ???? ??????, ?????? ????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/danon_danny-s.jpg"
"elkin_zeev","Elkin Zeev","??? ?????","??? ???? ?????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/elkin_zeev-s.jpg"
"boim_zev","Boim Zev","??? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/boim_zev-s.jpg"
"Bielski_Zeev","Bielski Zeev","??? ??????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Bielski_Zeev-s.jpg"
"begin_beni","Begin Beni","??? ??????  ????","??","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/begin_beni-s.jpg"
